url,status,title,meta_description,published_time,author,h1,file_path
https://tiximax.us/,200,"Trang chủ TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","TIXIMAX US cung cấp dịch vụ mua hộ hàng Mỹ giá tốt, vận chuyển hàng từ Mỹ về Việt Nam, thanh toán hộ uy tín.",2025-08-13T04:34:02+00:00,,"VẬN CHUYỂN, MUA HỘ HÀNG MỸ",pages\000001--home.txt
https://tiximax.us/blocks/404-page-not-found,200,,,,,,pages\000002--blocks--404-page-not-found.txt
https://tiximax.us/blocks/footer,200,,,,,,pages\000003--blocks--footer.txt
https://tiximax.us/bai-viet,404,,,,,,pages\000004--bai-viet.txt
https://tiximax.us/archive,404,,,,,,pages\000005--archive.txt
https://tiximax.us/bang-gia,200,"Bảng giá - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ",,2025-07-14T08:24:53+00:00,,BẢNG GIÁ DỊCH VỤ TẠI TIXIMAX US,pages\000006--bang-gia.txt
https://tiximax.us/author/nguyenhanh,200,"Nguyên Hạnh, Author at TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ",,,,,pages\000007--author--nguyenhanh.txt
https://tiximax.us/author/admin,200,"Trang chủ TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","TIXIMAX US cung cấp dịch vụ mua hộ hàng Mỹ giá tốt, vận chuyển hàng từ Mỹ về Việt Nam, thanh toán hộ uy tín.",2025-08-13T04:34:02+00:00,,"VẬN CHUYỂN, MUA HỘ HÀNG MỸ",pages\000008--author--admin.txt
https://tiximax.us/blog,200,"Blog - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","Chia sẻ những thông tin hữu ích về Logistics, nguồn hàng Indonesia, mẹo mua hàng, săn mã giảm giá, kiến thức về thị trường",2025-07-24T02:19:20+00:00,,,pages\000009--blog.txt
https://tiximax.us/blogs,404,,,,,,pages\000010--blogs.txt
https://tiximax.us/category,404,,,,,,pages\000011--category.txt
https://tiximax.us/category/ho-tro-khach-hang,200,"HỖ TRỢ KHÁCH HÀNG - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ",Gặp khó khăn khi mua hàng? Xem ngay mục Hỗ trợ khách hàng của TIXIMAX để được hướng dẫn chi tiết từ A–Z: từ đặt hàng đến đổi trả dễ dàng.,,,,pages\000012--category--ho-tro-khach-hang.txt
https://tiximax.us/category/thi-truong-my,200,"KIẾN THỨC THỊ TRƯỜNG Archives - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ",,,,,pages\000013--category--thi-truong-my.txt
https://tiximax.us/chuyen-muc,404,,,,,,pages\000014--chuyen-muc.txt
https://tiximax.us/cau-hoi-thuong-gap,200,"Câu Hỏi Thường Gặp (FAQ) - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ",,2025-07-21T02:58:55+00:00,,,pages\000015--cau-hoi-thuong-gap.txt
https://tiximax.us/dau-gia-dam-phan-nha-cung-cap,200,"Đấu giá đàm phán nhà cung cấp - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","Dịch vụ đấu giá eBay uy tín – giúp bạn săn hàng Mỹ chính hãng dễ dàng, không cần tài khoản quốc tế, hỗ trợ đặt giá & vận chuyển trọn gói!",2025-08-18T08:01:09+00:00,,"ĐẤU GIÁ, ĐÀM PHÁN NHÀ CUNG CẤP",pages\000016--dau-gia-dam-phan-nha-cung-cap.txt
https://tiximax.us/cong-ty-forwarder,200,"Công ty Forwarder là gì? Dịch vụ & Chi phí bạn cần biết - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","Công ty forwarder giúp tối ưu chi phí, quản lý vận chuyển hiệu quả và giảm rủi ro. Khám phá ngay giải pháp logistics thông minh cho doanh nghiệp!",2025-08-20T02:55:41+00:00,Chuyên viên TIXIMAX,Công ty Forwarder là gì? Dịch vụ & Chi phí bạn cần biết,pages\000017--cong-ty-forwarder.txt
https://tiximax.us/dich-vu,200,"Dịch vụ - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","Tổng hợp các dịch vụ của TIXIMAX đang cung cấp: Vận chuyển hàng hóa 2 chiều Indonesia - Việt Nam, mua hàng hộ, thanh toán hộ",2025-06-13T10:12:19+00:00,,,pages\000018--dich-vu.txt
https://tiximax.us/dropship-shopify,200,"Dropship Shopify : Hướng Dẫn Kinh Doanh Hàng Mỹ Hiệu Quả - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","Khám phá bí quyết dropship hàng Mỹ với Shopify : chiến lược chọn sản phẩm hot, tối ưu chi phí và xây dựng thương hiệu bền vững.",2025-08-12T09:43:22+00:00,Nguyên Hạnh,Dropship Shopify : Hướng Dẫn Kinh Doanh Hàng Mỹ Hiệu Quả,pages\000019--dropship-shopify.txt
https://tiximax.us/dropship-aliexpress,200,"Dropship Aliexpress : Hướng Dẫn Cho Người Mới Bắt Đầu - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","Dropship Aliexpress : Hướng dẫn tạo tài khoản, chọn ngách, dùng Aliexpress Dropshipping Center và tối ưu lợi nhuận khi kinh doanh online.",2025-08-16T09:19:17+00:00,Nguyên Hạnh,Dropship Aliexpress : Hướng Dẫn Cho Người Mới Bắt Đầu,pages\000020--dropship-aliexpress.txt
https://tiximax.us/dropship-ebay-huong-dan-kinh-nghiem-va-chinh-sach,200,"Dropship eBay : Hướng Dẫn, Kinh Nghiệm và Chính Sách - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","Dropshipping trên eBay đơn giản hơn bạn nghĩ ! Hướng dẫn chi tiết cách bán hàng, tìm sản phẩm, và kinh nghiệm thành công cho người mới.",2025-08-11T09:49:03+00:00,Nguyên Hạnh,"Dropship eBay : Hướng Dẫn, Kinh Nghiệm và Chính Sách",pages\000021--dropship-ebay-huong-dan-kinh-nghiem-va-chinh-sach.txt
https://tiximax.us/dropshipping-tren-amazon,200,"Dropshipping Trên Amazon Hiệu Quả Cho Người Mới Bắt Đầu - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","Khám phá bí quyết dropshipping trên Amazon : từ tìm sản phẩm, tuân thủ chính sách đến tối ưu lợi nhuận cho hành trình bán hàng thành công.",2025-08-14T07:19:28+00:00,Nguyên Hạnh,Dropshipping Trên Amazon Hiệu Quả Cho Người Mới Bắt Đầu,pages\000022--dropshipping-tren-amazon.txt
https://tiximax.us/dropshipping-cho-nguoi-moi-bat-dau,200,"Dropshipping Cho Người Mới Bắt Đầu : Hướng Dẫn A–Z - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","Dropshipping cho người mới bắt đầu : hướng dẫn chi tiết cách làm, chọn sản phẩm, tạo cửa hàng Shopify, marketing và xử lý đơn hàng hiệu quả.",2025-08-07T11:44:10+00:00,Nguyên Hạnh,Dropshipping Cho Người Mới Bắt Đầu : Hướng Dẫn A–Z,pages\000023--dropshipping-cho-nguoi-moi-bat-dau.txt
https://tiximax.us/dropshipping-alibaba,200,"Dropshipping Alibaba 2025 : Hướng Dẫn Cho Người Mới Bắt Đầu - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","Dropship Alibaba từ A–Z : Hướng dẫn tìm nguồn hàng uy tín, so sánh với AliExpress, mẹo đàm phán và bí quyết kinh doanh thành công.",2025-08-15T10:14:57+00:00,Nguyên Hạnh,Dropshipping Alibaba 2025 : Hướng Dẫn Cho Người Mới Bắt Đầu,pages\000024--dropshipping-alibaba.txt
https://tiximax.us/category/thi-truong-my/page/2,200,"KIẾN THỨC THỊ TRƯỜNG Archives - Page 2 of 2 - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ",,,,,pages\000025--category--thi-truong-my--page--2.txt
https://tiximax.us/category/huong-dan,200,"Hướng dẫn Archives - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","Hướng dẫn khách hàng các thao tác kiểm tra giá, đặt hàng, theo dõi đơn hàng, giải đáp các thắc mắc của khách hàng về dịch vụ vận chuyển hàng hóa quốc tế.",,,Nothing Found,pages\000026--category--huong-dan.txt
https://tiximax.us/category/tin-tuc-dich-vu,200,"TIN TỨC DỊCH VỤ - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","Cập nhật nhanh tin tức mới nhất về dịch vụ, xu hướng thị trường và Case Study. Khám phá những thông tin đáng tin cậy, hữu ích và dễ áp dụng.",,,Nothing Found,pages\000027--category--tin-tuc-dich-vu.txt
https://tiximax.us/category/dich-vu,200,"Dịch vụ Archives - TIXIMAX - VẬN CHUYỂN, MUA HỘ HÀNG MỸ","Cung cấp các cập nhật mới, chính sách ưu đãi, chương trình khuyến mãi về các dịch vụ được cung cấp bởi TIXIMAX.",,,Nothing Found,pages\000028--category--dich-vu.txt
