ts_utc,ts_local,username,session_id,role,content
2025-08-22T02:04:38.371463+00:00,2025-08-22T09:04:38.371463+07:00,2,ep95f6n4,user,tiximax thành lập năm nào
2025-08-22T02:04:47.712847+00:00,2025-08-22T09:04:47.712847+07:00,2,ep95f6n4,assistant,"Tôi không biết. Dữ liệu được cung cấp không đề cập đến năm thành lập của Tiximax.
"
2025-08-22T02:07:05.413063+00:00,2025-08-22T09:07:05.413063+07:00,2,ep95f6n4,user,Nhận hàng từ 1-3 ngày kể từ ngày giao hàng tuỳ khu vực KHU VỰC NHẬN HÀNG
2025-08-22T02:07:11.907042+00:00,2025-08-22T09:07:11.907042+07:00,2,ep95f6n4,assistant,"Có hai thông tin về thời gian nhận hàng từ 1-3 ngày tùy khu vực:

1.  **Vận chuyển nội địa Indonesia từ Batam (giao nhanh):** Nhận hàng từ 1-3 ngày kể từ ngày giao hàng tùy khu vực (source: document ""context"").
2.  **Vận chuyển từ Việt Nam (Hà Nội):** 1 đến 3 ngày kể từ ngày bay (source: document ""context"")."
2025-08-22T02:08:28.751204+00:00,2025-08-22T09:08:28.751204+07:00,2,ep95f6n4,user,CHÍNH SÁCH GIÁ DÀNH CHO KHÁCH LẺ Vận chuyển hàng từ Indonesia  Việt Nam
2025-08-22T02:08:37.046192+00:00,2025-08-22T09:08:37.046192+07:00,2,ep95f6n4,assistant,"CHÍNH SÁCH GIÁ DÀNH CHO KHÁCH LẺ Vận chuyển hàng từ Indonesia  Việt Nam áp dụng từ ngày 11/06/2025 đến 31/12/2025 như sau:

**I. Tỷ giá mua hộ:**

*   Đơn hàng dưới 10 triệu đồng: 1.70
*   Đơn hàng từ 10 triệu đến 50 triệu đồng: 1.68
*   Đơn hàng trên 50 triệu đồng: 1.65

**II. Dịch vụ vận chuyển Indonesia  Việt Nam:**

*   **Chính sách giá vận chuyển:**

    *   Dưới 2kg: 300,000 VNĐ
    *   Từ 2kg đến 10kg: 290,000 VNĐ
    *   Từ 10kg đến 20kg: 285,000 VNĐ
    *   Từ 20kg đến 50kg: 280,000 VNĐ
    *   Trên 50kg: 275,000 VNĐ
*   **Phụ phí áp dụng (nếu có):**

    *   Phí đóng lại kiện carton: 25,500 VNĐ/kg
    *   Phí đóng gỗ: 34,000 VNĐ/kg
    *   Đóng hàng đặc biệt: 85,000 VNĐ/kg
*   **Cách tính khối lượng:**

    *   Khối lượng quy đổi = (Dài \* Rộng \* Cao) / 6,000 (cm3)
    *   So sánh giữa khối lượng thực tế và khối lượng quy đổi theo thể tích, tính theo giá trị lớn hơn.

**III. Loại hàng hóa:**

*   Đồ điện tử, Laptop, Máy ảnh, Điện thoại, Đồng hồ: 350,000 VNĐ/sản phẩm
*   Cây sống (không bao gồm đất): Liên hệ

**IV. Chi phí lưu kho:**

*   Việt Nam: Miễn phí
*   Indonesia:
    *   Hàng thường: Miễn phí 30 ngày, sau đó 200,000 VNĐ/ngày
    *   Hàng cồng kềnh: Miễn phí 07 ngày, sau đó 500,000 VNĐ/ngày

**Lưu ý:** Hàng thường được quy ước nếu kích thước < 60cm + 40cm + 40cm (tổng cộng không vượt quá 140cm) hoặc trọng lượng... (source: document ""context"").
"
2025-08-22T03:54:37.712428+00:00,2025-08-22T10:54:37.712428+07:00,2,ep95f6n4,user,CHÍNH SÁCH GIÁ DÀNH CHO KHÁCH LẺ Vận chuyển hàng từ Indonesia - Việt Nam
2025-08-22T03:54:43.667920+00:00,2025-08-22T10:54:43.667920+07:00,2,ep95f6n4,assistant,"Tôi không có thông tin về ""CHÍNH SÁCH GIÁ DÀNH CHO KHÁCH LẺ Vận chuyển hàng từ Indonesia - Việt Nam"". Tôi chỉ có thông tin về ""CHÍNH SÁCH GIÁ DÀNH CHO ĐẠI LÝ Vận chuyển hàng từ Indonesia  Việt Nam"" áp dụng từ ngày 11/06/2025 đến 31/12/2025 (source: document ""context"")."
2025-08-22T03:55:16.371776+00:00,2025-08-22T10:55:16.371776+07:00,2,ep95f6n4,user,CHÍNH SÁCH GIÁ DÀNH CHO KHÁCH LẺ Vận chuyển hàng từ Indonesia - Việt Nam
2025-08-22T03:55:21.912883+00:00,2025-08-22T10:55:21.912883+07:00,2,ep95f6n4,assistant,"Tôi không có thông tin về ""CHÍNH SÁCH GIÁ DÀNH CHO KHÁCH LẺ Vận chuyển hàng từ Indonesia - Việt Nam"" trong dữ liệu được cung cấp.
"
2025-08-22T03:56:46.339433+00:00,2025-08-22T10:56:46.339433+07:00,2,aex90dwa,user,CHÍNH SÁCH GIÁ DÀNH CHO KHÁCH LẺ Vận chuyển hàng từ Indonesia - Việt Nam
2025-08-22T03:56:52.074005+00:00,2025-08-22T10:56:52.074005+07:00,2,aex90dwa,assistant,"Tôi không có thông tin về ""CHÍNH SÁCH GIÁ DÀNH CHO KHÁCH LẺ Vận chuyển hàng từ Indonesia - Việt Nam"" trong dữ liệu được cung cấp.
"
2025-08-22T03:57:45.966846+00:00,2025-08-22T10:57:45.966846+07:00,2,aex90dwa,user,CHÍNH SÁCH GIÁ DÀNH CHO KHÁCH LẺ Vận chuyển hàng từ Indonesia về Việt Nam
2025-08-22T03:57:51.383185+00:00,2025-08-22T10:57:51.383185+07:00,2,aex90dwa,assistant,"Tôi không có thông tin về ""CHÍNH SÁCH GIÁ DÀNH CHO KHÁCH LẺ Vận chuyển hàng từ Indonesia về Việt Nam"" trong dữ liệu được cung cấp.
"
2025-08-22T03:58:45.181291+00:00,2025-08-22T10:58:45.181291+07:00,2,aex90dwa,user,DỊCH VỤ VẬN CHUYỂN KHỐI LƯỢNG (KG)
2025-08-22T03:58:51.508264+00:00,2025-08-22T10:58:51.508264+07:00,2,aex90dwa,assistant,"Dưới đây là thông tin về dịch vụ vận chuyển và khối lượng (KG) từ các chính sách giá hiện có:

*   **Đường Air UK - VN:** (Áp dụng từ ngày 1/04/2025)
    *   Dưới 2kg: 310,000 VNĐ/KG
    *   Từ 2kg đến 20kg: 300,000 VNĐ/KG
    *   Từ 20kg đến 50kg: 295,000 VNĐ/KG
    *   Trên 50kg: 290,000 VNĐ/KG (source: document ""context"")
*   **Đường Air Japan - VN:** (Áp dụng từ ngày 01/05/2025)
    *   Với mọi kg: 140,000 VNĐ/KG (source: document ""context"")
*   **Indonesia - Việt Nam (Dành cho đại lý):** (Áp dụng từ ngày 11/06/2025 đến 31/12/2025)
    *   Với mọi mức khối lượng: 265,000 VNĐ/KG (source: document ""context"")"
2025-08-22T04:01:01.880881+00:00,2025-08-22T11:01:01.880881+07:00,2,twn4uh2u,user,DỊCH VỤ VẬN CHUYỂN KHỐI LƯỢNG (KG)
2025-08-22T04:01:07.839041+00:00,2025-08-22T11:01:07.839041+07:00,2,twn4uh2u,assistant,"Bạn muốn tìm thông tin về dịch vụ vận chuyển theo khối lượng (kg) cho tuyến nào? Hiện tại tôi có thông tin về các tuyến sau:

*   **Đường Air UK - VN:** Với các mức giá khác nhau tùy theo khối lượng (Dưới 2kg, từ 2kg đến 20kg, từ 20kg đến 50kg, trên 50kg) (source: CHÍNH SÁCH GIÁ ĐƯỜNG AIR UK - VN)
*   **Đường Air Japan - VN:** Đồng giá cho mọi kg (source: CHÍNH SÁCH GIÁ ĐƯỜNG AIR JAPAN - VN)
*   **Indonesia - Việt Nam:** Đồng giá cho mọi mức khối lượng (source: CHÍNH SÁCH GIÁ DÀNH CHO ĐẠI LÝ)"
2025-08-22T04:03:06.280803+00:00,2025-08-22T11:03:06.280803+07:00,2,twn4uh2u,user,chính sách giá bán lẻ từ indo về Vệt nam
2025-08-22T04:03:14.773360+00:00,2025-08-22T11:03:14.773360+07:00,2,twn4uh2u,assistant,"Chính sách giá bán lẻ từ Indonesia về Việt Nam, áp dụng từ ngày 11/06/2025 đến 31/12/2025 như sau:

**I. Tỷ giá mua hộ:**

*   Đơn hàng dưới 10 triệu đồng: Tỷ giá 1.70
*   Đơn hàng từ 10 triệu đến 50 triệu đồng: Tỷ giá 1.68
*   Đơn hàng trên 50 triệu đồng: Tỷ giá 1.65

**II. Dịch vụ vận chuyển Indonesia  Việt Nam:**

*   **Chính sách giá vận chuyển:**
    *   Dưới 2kg: 300,000 VNĐ/kg
    *   Từ 2kg đến 10kg: 290,000 VNĐ/kg
    *   Từ 10kg đến 20kg: 285,000 VNĐ/kg
    *   Từ 20kg đến 50kg: 280,000 VNĐ/kg
    *   Trên 50kg: 275,000 VNĐ/kg
*   **Phụ phí áp dụng (nếu có):**
    *   Phí đóng lại kiện carton: 25,500 VNĐ/kg
    *   Phí đóng gỗ: 34,000 VNĐ/kg
    *   Đóng hàng đặc biệt: 85,000 VNĐ/kg
*   **Cách tính khối lượng:**
    *   Khối lượng quy đổi = (Dài \* Rộng \* Cao) / 6,000 (cm3)
    *   So sánh giữa khối lượng thực tế và khối lượng quy đổi theo thể tích, tính theo giá trị lớn hơn.

**III. Loại hàng hóa:**

*   Đồ điện tử, Laptop, Máy ảnh, Điện thoại, Đồng hồ: 350,000 VNĐ/sản phẩm
*   Cây sống (không bao gồm đất): Liên hệ

**IV. Chi phí lưu kho:**

*   Việt Nam – Tất cả: Miễn phí
*   Indonesia – Hàng thường: Miễn phí 30 ngày, sau đó 200,000 VND/ngày
*   Indonesia – Hàng cồng kềnh: Miễn phí 07 ngày, sau đó 500,000 VND/ngày (source: CHÍNH SÁCH GIÁ DÀNH CHO KHÁCH LẺ)
"
2025-08-22T04:04:19.075351+00:00,2025-08-22T11:04:19.075351+07:00,2,twn4uh2u,user,dịch vụ đấu giá hộ
2025-08-22T04:04:23.887948+00:00,2025-08-22T11:04:23.887948+07:00,2,twn4uh2u,assistant,"Tôi không biết về dịch vụ đấu giá hộ dựa trên dữ liệu hiện có.
"
2025-08-22T04:53:59.466921+00:00,2025-08-22T11:53:59.466921+07:00,2,twn4uh2u,user,Văn bản pháp luật chung áp dụng cho mọi loại đồng
