ts_utc,ts_local,username,role,content
2025-08-19T09:59:15.156001+00:00,2025-08-19T16:59:15.156001+07:00,4,user,hi
2025-08-19T09:59:27.798857+00:00,2025-08-19T16:59:27.798857+07:00,4,assistant,"Lỗi khi gọi LLM local API: HTTPConnectionPool(host='192.168.2.8', port=1234): Max retries exceeded with url: /v1/chat/completions (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002B7305E24B0>, 'Connection to 192.168.2.8 timed out. (connect timeout=5)'))"
2025-08-19T09:59:34.845153+00:00,2025-08-19T16:59:34.845153+07:00,4,user,2
2025-08-19T09:59:46.194081+00:00,2025-08-19T16:59:46.194081+07:00,4,assistant,"Lỗi khi gọi LLM local API: HTTPConnectionPool(host='192.168.2.8', port=1234): Max retries exceeded with url: /v1/chat/completions (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000002B730678650>, 'Connection to 192.168.2.8 timed out. (connect timeout=5)'))"
2025-08-19T10:05:24.555095+00:00,2025-08-19T17:05:24.555095+07:00,4,user,4
2025-08-19T10:05:38.661446+00:00,2025-08-19T17:05:38.661446+07:00,4,assistant,"Lỗi khi gọi LLM local API: HTTPConnectionPool(host='192.168.2.8', port=1234): Max retries exceeded with url: /v1/chat/completions (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000024888B63AA0>, 'Connection to 192.168.2.8 timed out. (connect timeout=5)'))"
2025-08-20T01:36:59.771077+00:00,2025-08-20T08:36:59.771077+07:00,4,user,2
2025-08-20T01:37:09.018794+00:00,2025-08-20T08:37:09.018794+07:00,4,user,2
2025-08-20T01:37:17.669834+00:00,2025-08-20T08:37:17.669834+07:00,4,assistant,"Lỗi khi gọi LLM local API: HTTPConnectionPool(host='192.168.2.8', port=1234): Max retries exceeded with url: /v1/chat/completions (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000017526C7A7E0>, 'Connection to 192.168.2.8 timed out. (connect timeout=5)'))"
2025-08-20T01:37:22.823683+00:00,2025-08-20T08:37:22.823683+07:00,4,assistant,"Lỗi khi gọi LLM local API: HTTPConnectionPool(host='192.168.2.8', port=1234): Max retries exceeded with url: /v1/chat/completions (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000175268C33B0>, 'Connection to 192.168.2.8 timed out. (connect timeout=5)'))"
